 #vapor
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL           3           1   717.60827328173150        4.8090797601613956E-003  -12.181847599766986       -5.1784754912789275        2.4797286350514369        3.1835792629567892E-006   1.6622134257576083E-003  0.99833460299497789     
 SOL           3           1   705.46334305457231        2.8938818522418193E-003  -12.705385154288873       -5.3981699430564172        2.4800582756013223        1.8860195758129989E-006   1.3343651710206409E-003  0.99866374880940179     
 SOL           3           1   693.57094692143505        1.7202458164916601E-003  -13.240054366018425       -5.6207532084028049        2.4803256530200977        1.1049491899514698E-006   1.0680904052665894E-003  0.99893080464554207     
 SOL           3           1   681.92819934674742        1.0102212380226131E-003  -13.785857648562068       -5.8462291127584027        2.4805419343594224        6.4018125577594232E-007   8.5248171539276693E-004  0.99914687810334968     
 SOL           3           1   670.53168865367763        5.8607874506221925E-004  -14.342797319525312       -6.0746012247334509        2.4807163942112211        3.6679814291870651E-007   6.7842887620532869E-004  0.99932120432565019     
 SOL           3           1   659.37761185785098        3.3591948231388198E-004  -14.910875606110285       -6.3058727176589118        2.4808567178688343        2.0783269204512764E-007   5.3834959599312890E-004  0.99946144257131320     
 SOL           3           1   648.46187724074298        1.9022466355649061E-004  -15.490094650287427       -6.5400463004368330        2.4809692577522355        1.1645609635793746E-007   4.2595536893796785E-004  0.99957392817496382     
 SOL           3           1   637.78018342364146        1.0642962647854132E-004  -16.080456513581005       -6.7771241787671253        2.4810592504382143        6.4531435901395456E-008   3.3604890322980278E-004  0.99966388656533245     
 SOL           3           1   627.32807828147520        5.8834641728522710E-005  -16.681963181503793       -7.0171080978737077        2.4811310003725846        3.5362283541043913E-008   2.6434968090628501E-004  0.99973561495680874     
 SOL           3           1   617.10100710014649        3.2135756564194265E-005  -17.294616567672382       -7.2599993421519189        2.4811880352325559        1.9163212572696382E-008   2.0734447308105812E-004  0.99979263636370475     
 SOL           3           1   607.09434865372782        1.7343552005455603E-005  -17.918418517631366       -7.5057987957030319        2.4812332371820309        1.0269624693783627E-008   1.6215976902264753E-004  0.99983782996135084     
 SOL           3           1   597.30344463240851        9.2489042820467670E-006  -18.553370812411615       -7.7545069882531923        2.4812689535294883        5.4424982063184274E-009   1.2645340308049078E-004  0.99987354115441962     
 SOL           3           1   587.72362323356731        4.8736381404934281E-006  -19.199475171845339       -8.0061241459676147        2.4812970898079407        2.8523232142867849E-009   9.8322877105633740E-005  0.99990167427056953     
 SOL           3           1   578.35021839488968        2.5376665054108214E-006  -19.856733257658302       -8.2606502402793804        2.4813191878517764        1.4782748105524884E-009   7.6228135984845186E-005  0.99992377038573843     
 SOL           3           1   569.17858560879415        1.3056931517546063E-006  -20.525146676357622       -8.5180850331584548        2.4813364910868723        7.5764701638854591E-010   5.8926790845512705E-005  0.99994107245150576     
 SOL           3           1   560.20411500614250        6.6386477683084364E-007  -21.204716981931700       -8.7784281178939541        2.4813499989461798        3.8400182071397987E-010   4.5420009942214880E-005  0.99995457960605438     
 SOL           3           1   551.42224221641345        3.3354640634231371E-007  -21.895445678377321       -9.0416789550291430        2.4813605120624858        1.9246582347450981E-010   3.4907507421442608E-005  0.99996509230011110     
